0,0x8A60307B54D7E7C,0x8A27C07B54A6340,0x8917D07B53BF1C0,0
1000001,0x6953696819BF1875,0x38531E45B9A5BC4A,0x2A042053855F44D9,1
1000002,0x5D5E188BC784884C,0x38531E45B9A5BC4A,0x2A042053855F44D9,1
1000003,0x619263062D36917F,0x38531E45B9A5BC4A,0x2A042053855F44D9,1
1000004,0x505A9D6022E571C6,0x38531E45B9A5BC4A,0x2A042053855F44D9,1
1000005,0x560CA45C0A2DAEF2,0x38531E45B9A5BC4A,0x2A042053855F44D9,1
1000006,0xD4F013AD65B6E27,0x38531E45B9A5BC4A,0x2A042053855F44D9,1
1000007,0x39627DB608C66755,0x38531E45B9A5BC4A,0x2A042053855F44D9,1
1000008,0x16C1AB5011A1A011,0x38531E45B9A5BC4A,0x465DF523BCE4CA60,1
1000009,0x74496E1B656C6651,0x38531E45B9A5BC4A,0x465DF523BCE4CA60,1
1000010,0x1458181EB9DBDE8B,0x38531E45B9A5BC4A,0x465DF523BCE4CA60,1
1000011,0x1D4A36921F5E48F0,0x38531E45B9A5BC4A,0x465DF523BCE4CA60,1
1000012,0xAB718D345FF910,0x38531E45B9A5BC4A,0x465DF523BCE4CA60,1
1000013,0x56D3DF5058C56523,0x38531E45B9A5BC4A,0x465DF523BCE4CA60,1
1000014,0xB69B008E289DED4,0x38531E45B9A5BC4A,0x37FEFE5198323BCD,1
1000015,0x4E31B245BDE5C7FC,0x38531E45B9A5BC4A,0x37FEFE5198323BCD,1
1000016,0x4BBB25554D3F7F6B,0x38531E45B9A5BC4A,0x37FEFE5198323BCD,1
1000017,0x4A6B297C85FAFEC1,0x38531E45B9A5BC4A,0x37FEFE5198323BCD,1
1000018,0x9FFE1C3C96379,0x38531E45B9A5BC4A,0x37FEFE5198323BCD,1
1000019,0x39376AB9D627E38A,0x38531E45B9A5BC4A,0x3F8553B84442E3CD,1
1000020,0x13884A663FDDDBE3,0x38531E45B9A5BC4A,0x3F8553B84442E3CD,1
1000021,0x596A42B9715FCF4E,0x73CCF349E72D1F5E,0x2A042053855F44D9,1
1000022,0x3ECEF105EDFCE221,0x73CCF349E72D1F5E,0x2A042053855F44D9,1
1000023,0x4A2042B3984A50AC,0x73CCF349E72D1F5E,0x2A042053855F44D9,1
1000024,0x4C39AFAA7B8D508C,0x73CCF349E72D1F5E,0x2A042053855F44D9,1
1000025,0x616F409871DE1C2A,0x73CCF349E72D1F5E,0x2A042053855F44D9,1
1000026,0x233AD55AC2B835D0,0x73CCF349E72D1F5E,0x2A042053855F44D9,1
1000027,0x3E64B28EDF21732A,0x73CCF349E72D1F5E,0x2A042053855F44D9,1
1000028,0xD2C0474517A8626,0x73CCF349E72D1F5E,0x2A042053855F44D9,1
1000029,0x589C4CE1578064B7,0x73CCF349E72D1F5E,0x2A042053855F44D9,1
1000030,0x589C4DE15780666A,0x73CCF349E72D1F5E,0x2A042053855F44D9,1
1000031,0x589C4EE15780681D,0x73CCF349E72D1F5E,0x2A042053855F44D9,1
1000032,0x589C47E157805C38,0x73CCF349E72D1F5E,0x2A042053855F44D9,1
1000033,0x1C519F7F8371ECF8,0x73CCF349E72D1F5E,0x2A042053855F44D9,1
1000034,0x70EEBDA916971B02,0x73CCF349E72D1F5E,0x2A042053855F44D9,1
1000035,0x1A0802EC72B26A24,0x73CCF349E72D1F5E,0x2A042053855F44D9,1
1000036,0xCAFC6BD7BFA105A,0x73CCF349E72D1F5E,0x465DF523BCE4CA60,1
1000037,0x6BD593B03DBE4709,0x73CCF349E72D1F5E,0x465DF523BCE4CA60,1
1000038,0x7BA5A74038BFFAB4,0x73CCF349E72D1F5E,0x465DF523BCE4CA60,1
1000039,0x7BA5AA4038BFFFCD,0x73CCF349E72D1F5E,0x465DF523BCE4CA60,1
1000040,0x7BA5A94038BFFE1A,0x73CCF349E72D1F5E,0x465DF523BCE4CA60,1
1000041,0x7BA5A44038BFF59B,0x73CCF349E72D1F5E,0x465DF523BCE4CA60,1
1000042,0x2DA3AF324B74C125,0x73CCF349E72D1F5E,0x465DF523BCE4CA60,1
1000043,0x24D9B998E4BC4F8,0x73CCF349E72D1F5E,0x465DF523BCE4CA60,1
1000044,0x17AFAE5369A40BC2,0x73CCF349E72D1F5E,0x37FEFE5198323BCD,1
1000045,0x17AFAD5369A40A0F,0x73CCF349E72D1F5E,0x37FEFE5198323BCD,1
1000046,0x17AFAC5369A4085C,0x73CCF349E72D1F5E,0x37FEFE5198323BCD,1
1000047,0x17AFAB5369A406A9,0x73CCF349E72D1F5E,0x37FEFE5198323BCD,1
1000048,0x54709F2CDFEC5C52,0x73CCF349E72D1F5E,0x37FEFE5198323BCD,1
1000049,0x150670241DFB72AF,0x73CCF349E72D1F5E,0x37FEFE5198323BCD,1
1000050,0x576221EC95A6B4D1,0x73CCF349E72D1F5E,0x3F8553B84442E3CD,1
1000051,0x15066F241DFB70FC,0x73CCF349E72D1F5E,0x3F8553B84442E3CD,1
1000052,0x5567F18899A438F1,0x73CCF349E72D1F5E,0x3F8553B84442E3CD,1
1000053,0x242C2A18CEA5E1,0x38531E45B9A5BC4A,0x3F8553B84442E3CD,1
1000054,0x16F5A81348E35487,0x38531E45B9A5BC4A,0x3F8553B84442E3CD,1
1000055,0x465C22731C18755C,0x38531E45B9A5BC4A,0x3F8553B84442E3CD,1
1000056,0x39EAEF177AABC815,0x38531E45B9A5BC4A,0x2A042053855F44D9,1
1000057,0x40FF20DC353CEB63,0x38531E45B9A5BC4A,0x465DF523BCE4CA60,1
1000058,0x2FD8F0866DBEDA28,0x38531E45B9A5BC4A,0x37FEFE5198323BCD,1
1000059,0x53F12A7EBB3E91AC,0x38531E45B9A5BC4A,0x3F8553B84442E3CD,1
1000060,0x1734F461CBE4850D,0x73CCF349E72D1F5E,0x37FEFE5198323BCD,1
1000061,0x4053DCE90F31AA76,0x73CCF349E72D1F5E,0x3F8553B84442E3CD,1
1000062,0x3913B5E2900CDF3F,0x38531E45B9A5BC4A,0x3F8553B84442E3CD,2
1000063,0xD13857AEB37FE53,0x38531E45B9A5BC4A,0x3F8553B84442E3CD,2
1000064,0x12E9E5C5026C2620,0x38531E45B9A5BC4A,0x3F8553B84442E3CD,2
1000065,0x798BD245E259C64F,0x38531E45B9A5BC4A,0x3F8553B84442E3CD,2
1000066,0x1EBE3A344FB54080,0x38531E45B9A5BC4A,0x3F8553B84442E3CD,3
1000067,0x7FB40C4D855E7AF,0x38531E45B9A5BC4A,0x3F8553B84442E3CD,3
1000068,0x728619E07BF4DED1,0x38531E45B9A5BC4A,0x3F8553B84442E3CD,4
1000069,0x4F8DD5E57E340A94,0x38531E45B9A5BC4A,0x3F8553B84442E3CD,4
